id;progress_description;complete;date
1;../fake-data/blob/hipster.txt;false;2019-12-20T00:32:14
2;../fake-data/blob/hipster.txt;true;2019-12-20T15:15:06
3;../fake-data/blob/hipster.txt;true;2019-12-20T00:56:30
4;../fake-data/blob/hipster.txt;true;2019-12-20T05:19:48
5;../fake-data/blob/hipster.txt;false;2019-12-20T08:57:15
6;../fake-data/blob/hipster.txt;false;2019-12-20T17:15:17
7;../fake-data/blob/hipster.txt;false;2019-12-20T08:37:56
8;../fake-data/blob/hipster.txt;true;2019-12-20T11:38:43
9;../fake-data/blob/hipster.txt;true;2019-12-20T16:13:31
10;../fake-data/blob/hipster.txt;true;2019-12-20T04:01:59
